1027,1
1020,1
1041,2
1032,3
1020,3
1042,3
1059,3
1043,4
1059,4
1042,4
1046,4
1038,4
1051,4
1030,5
1005,5
1043,5
1046,5
1020,6
1043,6
1031,7
1021,7
1019,8
1045,9
1059,10
1049,10
1053,10
1003,10
1012,10
1025,10
1016,10
1047,10
1039,11
1031,12
1037,12
1043,12
1019,12
1042,13
1043,14
1023,14
1024,14
1017,14
1026,14
1050,14
1001,14
1008,14
1009,14
1050,16
1036,17
1007,17
1028,17
1018,17
1033,17
1045,17
1058,17
1055,19
1008,19
1009,19
1003,19
1012,19
1000,19
1046,20
1019,20
1057,20
1020,20
1037,21
1007,21
1028,21
1014,21
1034,22
1056,22
1007,23
1028,23
1039,23
